domain,kingdom,phylum,class,order,family,genus,species,n_zotu,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,evalue_mean,evalue_median,evalue_min,evalue_max,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,5306,96.90336068287208,96.889,88.839,100,94.84282873111071,95,63,100,2.2496710676584692e-71,9.69e-103,1.6399999999999998e-112,8.01e-66,0,1,7,2,4,0,3104,1210,12004,39104,87496,13953,63366,5493,12709,7694,3176,19693,20361,10,2,36139,824,25572,5873,6503,7106,2807,13090,1,37946,32596,7813,4,68805,1738,1908,66041,23166,4372,2,5243,48111,5228,0,13149,158275,0,2883,20553,40296,0,2280,17,0,1,11,2,10,0,12,16424,1,3403,5,0,0,57035,30,0,19700,0,7235,8,32,0,1,4670,5
Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,1948,97.91945052823408,98.268,89.669,100,99.15952002053388,100,95,100,8.176337473685267e-91,1.14e-114,1e-121,1.5899999999999997e-87,4,288,0,1,7,766,17234,4842,77,223,1099,13290,4260,290,5430,263,10392,605,6964,6413,1868,1762,11499,4526,24511,2576,59835,14999,9024,958,2324,1645,28617,4,4141,2033,584,521,1167,36465,1246,6869,1,38310,4491,2571,4170,6092,1656,2592,7627,2,3136,3,7,1348,35779,13003,1,4,19,4014,3601,14,2,0,343,3786,901,6,1,23,0,3,2,5,1,190382,2610
Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,5597,97.21235834650298,97.107,89.157,100,99.16783751927802,100,91,100,8.798926215411623e-88,2.05e-111,1e-121,2.89e-84,0,13,0,0,1,31,673,225,9,8,91,908,147,43,269,136,2014,22,438,226,69,816,466,843,1026,1011,5958,541,12457,30,262,51,1086,0,151,66,21,320,37,1684,54,278,0,3855,166,84,158,231,54,1852,1986,0,110,0,0,42,4118,514,0,0,1,143,134,2,0,0,10,125,30,2,0,6,0,0,1,0,0,6937,84
Eukaryota,Metazoa,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,36,97.91254888888889,97.908,96.281,100,98.57886111111111,98,96,100,5.0153564759109057e-110,5.919999999999999e-112,6.319999999999999e-118,3.06e-109,0,2,0,0,0,3,125,32,2,1,5,98,22,1,37,3,94,12,53,39,15,15,87,30,161,18,450,85,326,4,20,16,199,0,29,5,2,3,5,267,5,57,0,287,36,18,24,35,8,15,43,0,24,0,0,13,284,91,0,0,0,29,24,0,0,0,3,33,3,0,0,1,0,0,0,0,0,1408,27
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,2950,96.66663009703446,96.639,87.967,100,95.88248882468382,95,62,100,2.38365273764516e-66,8.069999999999999e-104,3.2099999999999997e-115,1.88e-61,0,0,1,0,2,0,463,630,2883,2168,2742,21311,7725,511,2648,218,1834,636,4703,4,0,4257,339,4003,2678,758,2063,951,1579,2,2429,1958,379,4,16100,10343,1627,2655,248,3160,1,1156,3653,6489,0,3,13886,0,32479,4770,11228,0,1,3,0,3,5,0,0,0,1,5,8,0,1,0,0,8247,2,0,3065,0,3359,0,2,0,6,9925,1
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea echinata,2678,96.76380516859138,96.875,93.304,99.554,94.67069256477284,95,74,100,1.2457802579980679e-80,3.38e-102,2.4299999999999997e-110,3.73e-76,0,0,0,0,0,0,460,159,211,715,2509,984,3673,815,436,19,641,855,2563,0,0,1119,0,3969,1884,490,0,900,0,0,753,2431,1,0,565,636,0,2139,802,1031,1,0,0,2030,0,594,3493,0,0,0,1312,0,885,1,0,0,0,0,0,0,0,3,0,3096,0,0,0,0,1,0,1586,0,0,1,2,0,0,0,0
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea serailia,2796,96.54004424875369,96.429,92.488,99.554,94.88560096066374,95,79,100,2.959843926085011e-82,4.119999999999999e-101,1.6399999999999998e-112,3.15e-77,0,0,0,0,0,0,821,803,305,379,600,2099,2804,307,273,175,823,136,3350,0,0,684,0,569,584,0,1769,0,0,0,421,1593,191,2,783,0,0,0,464,2203,1458,1285,0,0,468,0,815,0,0,2770,1157,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,292,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,1890,90.19434783855245,90.171,88.333,93.162,97.572151253544,98,50,100,1.0891372434519622e-40,1.5899999999999997e-87,2.69e-97,1.7e-36,0,0,0,0,0,0,31,0,106,0,0,0,0,0,84,22,0,0,112,0,0,120,0,106,158,0,0,0,19,0,0,0,715,0,0,0,0,0,0,1,0,0,0,402,0,318,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5041,0
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Plesiastreidae,Plesiastrea,LCA_dropped,50,96.15461310782241,95.775,94.043,100,95.33086680761099,95,81,100,1.3786017887129262e-83,9.69e-103,8.489999999999999e-110,5.02e-81,0,0,0,0,0,0,2,1,1,7,19,4,40,7,5,0,3,20,19,0,0,9,0,30,13,4,0,6,0,0,7,19,0,0,7,3,0,22,10,7,0,0,0,10,0,6,29,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca mulatta,1599,92.60018386491558,92.887,90,94.979,98.43277048155097,99,94,99,6.476765474942233e-86,3.2599999999999996e-96,8.179999999999999e-104,2.87e-84,0,0,0,0,0,0,13,0,0,0,0,1,0,0,31,0,0,0,1,0,0,0,0,0,0,4,1628,0,1,0,0,0,945,0,0,0,0,0,0,0,0,1188,0,487,0,226,0,0,0,506,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,13934,0
