sample_id,reads,notes
nec_01,11,
nec_02,320,
pcr_ntc1,13,
pcr_ntc2,3,
pcr_ntc3,23,
pcr_ntc4,810,
rme_02,11285,
rme_01,27260,
rme_03,25227,
rme_08,11194,
rme_10,10682,
rme_15,2505,
rme_14,8055,
rme_09,27812,
rme_04,46458,
rme_11,26776,
rme_17,15921,
rme_12,30833,
rme_24,1008,
rme_20,15196,
rme_06,63122,
rme_28,120,
rme_22,22731,
rme_13,51451,
rme_16,49246,
rme_18,44561,
rme_31,4845,
rme_19,46598,
rme_23,39961,
rme_35,2901,
rme_30,18895,
rme_05,107759,
rme_07,97195,
rme_25,49717,
rme_33,27521,
rme_39,6554,
rme_26,49631,
rme_36,19286,
rme_27,51684,
rme_42,6497,
rme_40,18972,
rmep_16,7,
rme_21,83682,
rmep_18,39,
rmep_19,7,
rmep_17,7899,
rmep_20,1999,
rme_34,58114,
rme_37,55164,
rmep_23,14,
rme_43,38808,
rmep_25,429,
rme_32,74372,
rme_44,36983,
rmep_26,60,
rme_38,61390,
rmep_22,13988,
rmep_28,3790,
rmep_30,184,
rmep_31,42,
rmep_29,8255,
rmep_32,406,
rmep_34,1609,
rmep_27,25596,
rmep_36,136,
rmep_21,45188,
rme_29,118036,
rmep_38,161,
rmep_40,43,
rmep_41,52,
rme_45,80716,
rmep_42,17,
rmep_39,14043,
rmep_43,315,
rmep_37,25265,
rmep_45,2842,
rmep_33,72708,
rme_41,185000,
rmep_44,336997,
