zotu,taxid,unique_hits,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,domain,kingdom,phylum,class,order,family,genus,species,taxid_rank,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Zotu1,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,17,2,51,148,415,46,215,21,66,32,6,91,58,0,0,198,7,98,10,22,16,7,70,0,144,100,28,0,210,7,7,273,75,15,0,12,153,19,0,40,575,0,17,74,128,0,7,0,0,0,0,0,1,0,0,67,0,11,0,0,0,154,0,0,71,0,27,0,0,0,0,9,1
Zotu2,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,12,0,31,112,397,33,165,16,72,34,6,77,45,0,0,152,1,59,14,26,14,6,41,0,129,103,21,0,141,11,5,229,55,9,0,9,133,10,0,36,421,0,15,71,105,0,3,0,0,0,0,0,0,0,0,51,0,10,0,0,0,110,0,0,51,0,21,0,0,0,0,11,0
Zotu3,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,16,4,22,115,348,46,179,23,55,25,4,70,42,0,0,183,3,90,18,29,23,3,40,0,111,83,28,0,156,8,5,209,61,14,0,18,122,26,0,35,411,0,6,45,112,0,8,0,0,0,0,0,0,0,0,52,0,10,0,0,0,107,0,0,56,0,16,0,1,0,0,11,0
Zotu4,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,12,3,32,112,349,35,156,16,58,16,6,66,43,0,0,136,1,53,19,18,9,4,33,0,109,96,17,0,159,5,5,192,59,7,0,11,108,17,0,27,383,0,11,66,83,0,5,0,0,0,0,0,0,0,0,52,0,10,0,0,0,82,0,0,44,0,23,0,0,0,0,15,0
Zotu5,46736,77,97.5704935064935,97.768,96.354,98.122,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,10,0,28,123,247,37,153,17,33,14,4,53,38,0,0,86,6,77,19,13,13,6,27,0,77,72,26,0,144,10,4,135,47,8,0,5,94,19,0,22,400,0,7,51,81,0,4,0,0,0,0,0,0,0,0,34,0,13,0,0,0,94,0,0,35,0,23,0,0,0,0,10,0
Zotu6,46736,77,97.5704935064935,97.768,96.354,98.122,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,5,2,27,81,232,24,109,14,28,9,4,55,31,0,0,103,2,66,12,10,10,3,33,0,81,67,22,0,134,4,4,140,46,3,0,3,61,16,0,34,394,0,6,47,77,0,3,0,0,0,0,0,0,0,0,41,0,4,0,0,0,70,0,0,33,0,13,0,0,0,0,3,0
Zotu7,46736,77,97.5704935064935,97.768,96.354,98.122,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,8,1,29,98,209,21,133,17,41,17,6,53,44,0,0,99,1,58,11,12,10,7,33,0,70,67,20,0,154,6,5,145,53,6,0,16,71,9,0,25,438,0,7,56,104,0,6,0,0,0,0,0,0,0,0,31,0,10,0,0,0,88,0,0,50,0,7,0,0,0,0,11,0
Zotu8,46736,77,97.5704935064935,97.768,96.354,98.122,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,8,5,20,127,278,26,152,20,67,20,6,60,38,0,0,129,0,79,18,11,13,12,56,0,102,101,19,0,179,3,7,183,76,14,0,8,115,13,0,33,533,0,12,54,110,0,6,0,0,0,0,0,0,0,0,49,0,9,0,0,0,115,0,0,61,0,23,0,0,0,0,10,0
Zotu9,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,7,0,20,93,164,16,116,13,23,14,2,32,37,0,0,71,1,51,14,12,12,6,31,0,54,65,19,0,140,4,2,114,50,7,0,2,98,11,0,21,392,0,4,43,79,0,5,0,0,0,0,0,1,0,0,46,0,8,0,0,0,92,0,0,30,0,18,0,0,0,0,9,0
Zotu10,46736,77,98.47241558441559,98.661,97.321,99.061,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,6,0,22,56,225,19,87,5,36,19,5,52,47,0,0,113,3,49,14,20,19,4,14,0,86,63,15,0,101,7,6,152,44,4,0,9,86,5,0,31,297,0,8,60,59,0,5,0,0,0,0,0,0,0,0,29,0,5,0,0,0,102,0,0,47,0,8,0,0,0,0,11,0
